Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
2025-09-15,2025,9,15,Monday,37,2025-37,755.0,771.54,749.53,762.2,10533800,0.01205683311581418,747.9571428571428,739.9214
2025-09-16,2025,9,16,Tuesday,37,2025-37,764.49,778.81,762.6,776.46,11782500,0.018700079236605882,749.7300000000001,741.1306
2025-09-17,2025,9,17,Wednesday,37,2025-37,777.44,780.73,763.81,773.19,9400900,-0.004210451018123784,751.7478571428571,742.2280000000001
2025-09-18,2025,9,18,Thursday,37,2025-37,778.2,786.2,770.83,777.7,10955000,0.005839810411799817,753.8221428571429,743.1741999999999
2025-09-19,2025,9,19,Friday,37,2025-37,783.85,788.22,766.68,775.84,23696800,-0.002396746784514514,756.647142857143,744.1938
2025-09-22,2025,9,22,Monday,38,2025-38,779.82,783.69,762.49,763.18,11706900,-0.016320576091413352,758.8235714285714,745.1540000000001
2025-09-23,2025,9,23,Tuesday,38,2025-38,767.25,768.6,749.12,753.44,10872600,-0.01275542112595629,760.1664285714287,745.8516000000001
2025-09-24,2025,9,24,Wednesday,38,2025-38,755.53,759.14,750.58,758.69,8828200,0.006963175433525537,761.0585714285714,746.8639999999999
2025-09-25,2025,9,25,Thursday,38,2025-38,751.5,754.81,742.62,746.97,10591100,-0.015447063165851538,760.8428571428573,747.7912
2025-09-26,2025,9,26,Friday,38,2025-38,748.05,749.98,735.44,741.82,9696300,-0.006890002477465851,760.2700000000001,748.6452
2025-09-29,2025,9,29,Monday,39,2025-39,746.78,748.83,737.23,741.47,9246800,-0.0004706273413093154,758.717857142857,749.435
2025-09-30,2025,9,30,Tuesday,39,2025-39,740.32,741.04,724.42,732.47,16226800,-0.012133414881295823,757.5000000000001,749.8716000000001
2025-10-01,2025,10,1,Wednesday,39,2025-39,719.62,719.98,708.36,715.48,20419600,-0.023203234432170317,755.1450000000001,750.1309999999999
2025-10-02,2025,10,2,Thursday,39,2025-39,720.71,725.88,716.28,725.16,11415300,0.013536123242906317,753.1478571428571,750.4091999999999
2025-10-03,2025,10,3,Friday,39,2025-39,727.74,729.1,708.34,708.72,16154300,-0.022680753032108925,749.3278571428572,750.3344000000001
2025-10-06,2025,10,6,Monday,40,2025-40,703.36,715.02,688.72,713.8,21654700,0.007177468422781885,744.8521428571429,750.4033999999999
2025-10-07,2025,10,7,Tuesday,40,2025-40,715.86,716.64,703.92,711.23,12062900,-0.0036050581460025377,740.4264285714287,750.3222000000001
2025-10-08,2025,10,8,Wednesday,40,2025-40,711.6,717.78,705.97,715.98,10790600,0.006675393613687186,736.0178571428571,750.6876
2025-10-09,2025,10,9,Thursday,40,2025-40,716.42,731.61,710.59,731.61,12717200,0.021829179334053483,732.8585714285715,751.4609999999999
2025-10-10,2025,10,10,Friday,40,2025-40,729.02,733.36,702.68,703.47,16980100,-0.03845886240795182,728.5935714285714,750.1122
2025-10-13,2025,10,13,Monday,41,2025-41,711.16,718.07,705.8,713.84,9251800,0.014745447527121813,725.765,749.4378000000002
2025-10-14,2025,10,14,Tuesday,41,2025-41,705.94,713.69,697.52,706.81,8829800,-0.00985044815960856,722.0592857142857,748.0974000000001
